author,href,mark,rating_nums,title
夏达 ,https://book.douban.com/subject/4188697/,None,9.0,子不语1
[日] 东野圭吾 ,https://book.douban.com/subject/6746289/,None,8.4,新参者
严歌苓 ,https://book.douban.com/subject/3012517/,None,8.6,小姨多鹤
[美] 史蒂芬·柯维 ,https://book.douban.com/subject/1048007/,None,8.2,高效能人士的七个习惯（精华版）
[美] 艾·弗洛姆 ,https://book.douban.com/subject/3026879/,None,8.8,爱的艺术
[英] 阿加莎·克里斯蒂 ,https://book.douban.com/subject/1807516/,None,8.9,罗杰疑案
杨显惠 ,https://book.douban.com/subject/3239549/,None,9.2,夹边沟记事
王小波 ,https://book.douban.com/subject/1082150/,None,8.4,白银时代
（英）乔治·奥威尔 ,https://book.douban.com/subject/1018136/,None,9.1,动物庄园
海宴 ,https://book.douban.com/subject/2326571/,None,8.5,琅琊榜
刘瑜 ,https://book.douban.com/subject/20463108/,None,8.3,观念的水位
[美] 贾雷德·戴蒙德 ,https://book.douban.com/subject/1813841/,None,8.8,枪炮、病菌与钢铁
王小波 ,https://book.douban.com/subject/1418686/,None,8.6,红拂夜奔
齐邦媛 ,https://book.douban.com/subject/4842446/,None,8.7,巨流河
[瑞典] 弗雷德里克·巴克曼 ,https://book.douban.com/subject/26672693/,None,9.0,一个叫欧维的男人决定去死
湊佳苗 ,https://book.douban.com/subject/3920130/,None,8.6,告白
黄仁宇 ,https://book.douban.com/subject/1015699/,None,8.3,中国大历史
[日] 村上春树 ,https://book.douban.com/subject/1031740/,None,8.1,寻羊冒险记
桐华 ,https://book.douban.com/subject/2283084/,None,8.1,云中歌1
匪我思存 ,https://book.douban.com/subject/1886385/,None,8.1,来不及说我爱你
[美] 米奇·阿尔博姆 ,https://book.douban.com/subject/2194123/,None,8.4,相约星期二
林达 ,https://book.douban.com/subject/1001885/,None,8.5,带一本书去巴黎
韩寒 ,https://book.douban.com/subject/3860856/,None,8.1,可爱的洪水猛兽
陈丹青 ,https://book.douban.com/subject/1003284/,None,8.1,退步集
